model,provider,tier,calls_total,calls_ok,calls_error,est_tokens_in,est_tokens_out,est_tokens_total,avg_latency_ms,total_compute_hours,cost_usd,cost_per_1k_input_usd,cost_per_1k_output_usd
deepseek,DeepSeek,paid,1283,1283,0,235027,116956,352404,3272,1.17,0.192758,0.00027,0.0011
qwen3_local,Ollama local,free (electricity),1282,1282,0,232985,98926,332319,19678,7.01,0.0,0.0,0.0
claude,Anthropic,paid,1276,1276,0,233816,149365,383593,1884,0.67,0.786764,0.0008,0.004
gpt,OpenAI,paid,1276,1276,0,233816,117946,352171,2426,0.86,0.106194,0.00015,0.0006
gemini,Google,free,1276,1276,0,233816,121677,355900,3844,1.36,0.0,0.0,0.0
gemma4_local,Ollama local,free (electricity),1276,1276,0,233816,99304,333547,3320,1.18,0.0,0.0,0.0
groq_kimi,Groq,free,438,438,0,71142,31272,102548,789,0.1,0.0,0.0,0.0
yandexgpt_pro,Yandex,paid,438,438,0,71955,26744,98827,1420,0.17,0.974022,0.00984,0.00984
yandexgpt_local,Ollama local,free (electricity),438,438,0,71955,34017,106095,2647,0.32,0.0,0.0,0.0
gigachat_local,Ollama local,free (electricity),438,438,0,71955,35425,107505,1654,0.2,0.0,0.0,0.0
groq_allam,Groq,free,435,435,0,70932,44259,115314,3360,0.41,0.0,0.0,0.0
sarvam,Sarvam AI,free credits,435,435,0,70917,32811,103853,6436,0.78,0.0,0.0,0.0
exaone_local,Ollama local,free (electricity),435,435,0,70695,27728,98564,10278,1.24,0.0,0.0,0.0
swallow_local,Ollama local,free (electricity),435,435,0,70701,35618,106446,2656,0.32,0.0,0.0,0.0
jais_local,Ollama local,free (electricity),435,435,0,70932,23617,94673,20386,2.46,0.0,0.0,0.0
gptoss_swallow,Yandex,paid,435,435,0,70701,29695,100537,2052,0.25,0.08257,0.00082,0.00082
grok,xAI,paid ($10 deposit),432,432,0,70104,48328,118554,1407,0.17,0.937952,0.003,0.015
cerebras_qwen3,Cerebras,free,440,425,15,71604,41371,113105,1684,0.2,0.0,0.0,0.0
groq_llama33,Groq,free,432,259,173,70104,28130,98314,1747,0.13,0.0,0.0,0.0
gigachat_api,Sber,freemium (50K tok Max),438,180,258,71955,13334,85336,2650,0.13,1.111246,0.013,0.013
sambanova_qwen3,SambaNova,free,432,22,410,70104,12751,82861,119590,0.73,0.0,0.0,0.0
sambanova_swallow,SambaNova,free,435,20,415,70701,1542,72251,135585,0.75,0.0,0.0,0.0
sambanova_deepseek,SambaNova,free,432,20,412,70104,1969,72079,105957,0.59,0.0,0.0,0.0
cerebras_glm,Cerebras,free,432,0,432,70104,0,70104,212659,0.06,0.0,0.0,0.0
tpro_yandex,Yandex,dedicated only,432,0,432,70104,0,70104,122200,0.03,0.0,0.0,0.0
falcon_arabic_local,Ollama local,free (electricity),432,0,432,70104,0,70104,7037,0.0,0.0,0.0,0.0
qwen35_local,Ollama local,free (electricity),432,0,432,70104,0,70104,6982,0.0,0.0,0.0,0.0
