brand,portfolio,n,t1_dci_mean,t2_dci_mean,delta_dci,t,p,d,cosine
Axe,Unilever,65,8.7,8.76,0.06,0.198,0.8435,0.025,0.9966
Ben & Jerry's,Unilever,65,6.49,6.9,0.4,1.301,0.1978,0.161,0.9927
Dior,LVMH,65,3.56,3.91,0.35,1.238,0.2202,0.154,0.9999
Dove,Unilever,65,5.55,5.96,0.41,1.447,0.1528,0.179,0.9933
Fendi,LVMH,65,5.34,4.68,-0.66,-2.251,0.0278,-0.279,0.9997
Geely Auto,Geely,59,8.07,5.14,-2.93,-8.502,0.0,-1.107,0.9968
Gillette,P&G,62,6.58,7.16,0.57,1.91,0.0609,0.243,0.9976
L'Oreal Paris,L'Oreal,61,5.57,5.78,0.21,0.876,0.3843,0.112,0.9987
Lancome,L'Oreal,57,5.42,5.88,0.47,2.244,0.0288,0.297,0.9993
Lexus,Toyota,65,5.34,5.82,0.47,2.368,0.0209,0.294,0.9992
Louis Vuitton,LVMH,65,4.38,4.12,-0.27,-1.075,0.2862,-0.133,0.9999
Maybelline,L'Oreal,57,6.82,6.19,-0.63,-1.907,0.0616,-0.253,0.9995
Pampers,P&G,65,6.62,7.02,0.41,1.608,0.1127,0.199,0.9984
Polestar,Geely,58,8.83,7.36,-1.47,-4.12,0.0001,-0.541,0.9932
Tide,P&G,65,7.18,7.9,0.72,1.958,0.0546,0.243,0.9981
Toyota,Toyota,65,6.8,6.0,-0.8,-4.878,0.0,-0.605,0.9994
Volvo,Geely,58,6.34,6.17,-0.17,-0.455,0.6511,-0.06,0.9971
Yandex,Yandex,58,6.18,5.12,-1.06,-3.729,0.0004,-0.49,0.9975
Yandex Market,Yandex,56,8.01,7.3,-0.71,-1.446,0.154,-0.193,0.999
Yandex Taxi,Yandex,56,8.66,8.17,-0.49,-0.836,0.4066,-0.112,0.9989
