brand,delta_dci,t,p,d,cosine
Axe,0.04,0.126,0.9,0.022,0.9998
Ben & Jerry's,0.23,1.085,0.2799,0.19,0.9997
Dior,-0.31,-0.841,0.4021,-0.147,0.9999
Dove,-0.02,-0.073,0.9423,-0.013,0.9996
Fendi,-0.03,-0.13,0.8967,-0.023,0.9997
Geely Auto,-0.47,-1.414,0.16,-0.257,0.9994
Gillette,0.3,0.922,0.3581,0.162,0.9997
L'Oreal Paris,-0.26,-0.871,0.3853,-0.158,0.9996
Lancome,0.3,1.213,0.2275,0.221,0.9993
Lexus,-0.4,-1.259,0.2103,-0.221,0.9987
Louis Vuitton,-0.82,-1.749,0.0827,-0.307,0.9997
Maybelline,-0.48,-1.648,0.1021,-0.301,0.9995
Pampers,-0.26,-0.813,0.4177,-0.143,0.9998
Polestar,0.02,0.076,0.9399,0.014,0.9997
Tide,0.31,0.974,0.332,0.171,0.9993
Toyota,-0.78,-3.084,0.0025,-0.541,0.9994
Volvo,-0.27,-1.219,0.2253,-0.222,0.9998
Yandex,0.15,0.402,0.6887,0.073,0.9992
Yandex Market,-0.38,-1.119,0.2654,-0.204,0.9991
Yandex Taxi,0.71,2.061,0.0415,0.375,0.9991
